strat,exit_variant,bps,N,start,end,net_profit,sharpe,sortino,psr,drawdown,recovery_days,orders,win_rate,avg_win,avg_loss,profit_loss_ratio,expectancy,fees,turnover,capacity,alpha,beta,ann_std,w_sum
2 prime,tight,0,0,2017-05-10,2025-05-10,216.31,0.907,1.181,28.883,9.9,300,3498,40,0.69,-0.35,1.99,0.197,15851.56,216.11,34000000,0.085,-0.047,0.09,6318.6135
2 prime,vwap,0,0,2017-05-10,2025-05-10,249.766,0.966,1.253,35.62,9.2,425,3026,44,0.79,-0.46,1.69,0.186,14288.29,187.46,75000000,0.096,-0.054,0.095,5480.9952
4 prime,tight,0,4,2017-05-10,2025-05-10,271.374,1.075,1.502,49.49,9.0,343,3336,40,0.74,-0.36,2.07,0.228,15708.03,206.03,32000000,0.101,-0.053,0.09,6024.5691
4 prime,vwap,0,4,2017-05-10,2025-05-10,258.642,0.97,1.256,35.952,8.9,414,2864,45,0.82,-0.51,1.6,0.182,13629.5,177.44,76000000,0.099,-0.054,0.098,5188.1921
